uid,date,DVS,LAI,TWLV,TWST,WSO,TAGP
nefer_01,2006-11-09,-0.1,,,,,
nefer_01,2006-11-18,-0.01,,,,,
nefer_01,2007-01-18,,0.4066272,288.16704,68.98752,,357.15456
nefer_01,2007-02-20,0.45,0.91717431,495.27593942,585.35906546,,1080.63500488
nefer_01,2007-03-06,,,,,,2049.90912
nefer_01,2007-04-16,,4.48907849,1861.71343713,4440.66685844,,4364.74821733
nefer_01,2007-05-14,1.075,2.18200661,1056.06013867,8914.38999403,,8091.29084447
nefer_01,2007-06-04,,0.51469517,,,,8800.48732829
nefer_01,2007-07-10,2.0,,,,3726.80133939,8414.54028518
nefer_02,2006-11-09,-0.1,,,,,
nefer_02,2006-11-18,-0.01,,,,,
nefer_02,2007-02-20,0.45,,,,,
nefer_02,2007-03-06,,,,,,1492.79063415
nefer_02,2007-04-16,,2.652787,1337.63072362,3625.45499066,,5005.25455041
nefer_02,2007-05-14,1.075,1.57109922,955.95984026,10557.1217142,,10276.37210248
nefer_02,2007-06-04,,0.54057971,,,,13000.0
nefer_02,2007-07-10,2.0,,,,4270.56226712,10189.54052298
nefer_03,2006-11-09,-0.1,,,,,
nefer_03,2006-11-18,-0.01,,,,,
nefer_03,2007-01-18,,0.47755344,325.94016,108.41376,,434.35392
nefer_03,2007-02-20,0.45,1.45441844,719.56243616,689.81644384,,1409.37888
nefer_03,2007-03-06,,,,,,1976.41309091
nefer_03,2007-04-16,,4.57938584,1820.07967437,4279.20111381,,5202.13109142
nefer_03,2007-05-14,1.075,2.04344178,965.88090136,7047.91220209,,8538.25944171
nefer_03,2007-06-04,,0.4576901,,,,8612.44812998
nefer_03,2007-07-10,2.0,,,,3602.67521293,9165.3655142
nefer_04,2006-11-09,-0.1,,,,,
nefer_04,2006-11-18,-0.01,,,,,
nefer_04,2007-01-18,,0.2216713,149.732352,44.706816,,194.439168
nefer_04,2007-02-20,0.45,0.45405456,286.97320634,216.67424566,,503.647452
nefer_04,2007-03-06,,,,,,891.14666667
nefer_04,2007-04-16,,2.06200306,1210.12562781,1931.50885495,,2498.55569089
nefer_04,2007-05-14,1.075,1.04965186,588.69363395,5109.41644562,,5176.88737384
nefer_04,2007-06-04,,0.4038958,,,,7247.55140287
nefer_04,2007-07-10,2.0,,,,2371.9807479,5643.25586791
nefer_05,2006-11-09,-0.1,,,,,
nefer_05,2006-11-18,-0.01,,,,,
nefer_05,2007-01-18,,0.2243808,161.32032,55.48032,,216.80064
nefer_05,2007-02-20,0.45,0.45730409,230.20360298,252.84439702,,483.048
nefer_05,2007-03-06,,,,,,1185.849
nefer_05,2007-04-16,,2.82396709,1231.16437994,3178.49941316,,3562.68802319
nefer_05,2007-05-14,1.075,2.22742639,1186.47764449,7313.52235551,,7444.67508261
nefer_05,2007-06-04,,0.46817055,,,,8100.0
nefer_05,2007-07-10,2.0,,,,3748.2304147,7753.4704907
nefer_06,2006-11-09,-0.1,,,,,
nefer_06,2006-11-18,-0.01,,,,,
nefer_06,2007-02-20,0.45,,,,,
nefer_06,2007-03-06,,,,,,911.4
nefer_06,2007-04-16,,2.10188143,1038.6923582,1997.23902912,,3667.593684
nefer_06,2007-05-14,1.075,1.537658,792.78361349,5857.47317302,,7445.96275419
nefer_06,2007-06-04,,0.42398738,,,,10182.79303124
nefer_06,2007-07-10,2.0,,,,3294.10928797,8225.03611123
nefer_07,2006-11-09,-0.1,,,,,
nefer_07,2006-11-18,-0.01,,,,,
nefer_07,2007-01-18,,0.2182908,160.56768,44.92488,,205.49256
nefer_07,2007-02-20,0.45,0.55171133,289.48665349,348.40630821,,637.8929617
nefer_07,2007-03-06,,,,,,945.54352941
nefer_07,2007-04-16,,4.35496513,1989.50029025,3169.35315802,,4703.79047796
nefer_07,2007-05-14,1.075,2.45469115,1285.17861082,8043.07613936,,9190.36917637
nefer_07,2007-06-04,,0.65999968,,,,10398.75273515
nefer_07,2007-07-10,2.0,,,,3667.8285476,9818.18114449
nefer_08,2006-11-09,-0.1,,,,,
nefer_08,2006-11-18,-0.01,,,,,
nefer_08,2007-01-18,,0.45655949,329.224896,134.1648,,463.389696
nefer_08,2007-02-20,0.45,0.95057554,644.42920123,394.33495877,,1038.76416
nefer_08,2007-03-06,,,,,,1352.67521053
nefer_08,2007-04-16,,1.73926823,756.88591064,1940.9249268,,2481.12941784
nefer_08,2007-05-14,1.075,1.0353264,586.88560482,5703.32421091,,5650.91791193
nefer_08,2007-06-04,,0.46531114,,,,7900.0
nefer_08,2007-07-10,2.0,,,,2814.43793982,7051.62751715
nefer_09,2005-11-08,-0.1,,,,,
nefer_09,2005-11-28,-0.01,,,,,
nefer_09,2006-03-29,0.45,1.09058598,906.4083466,527.22712138,,1433.63546798
nefer_09,2006-04-26,,1.77637456,1552.3163963,2850.60971208,,4402.92610837
nefer_09,2006-05-15,1.075,0.95313279,1546.93164862,,,7160.62068966
nefer_09,2006-07-04,2.0,,,,3823.23828181,8573.20197044
nefer_10,2005-11-08,-0.1,,,,,
nefer_10,2005-11-28,-0.01,,,,,
nefer_10,2006-03-29,0.45,0.91901344,824.35493632,464.30187813,,1288.65681445
nefer_10,2006-04-26,,2.33123287,1624.94854005,2821.6020894,,4446.55062945
nefer_10,2006-05-15,1.075,1.5737422,1615.22131147,,,7928.03366174
nefer_10,2006-07-04,2.0,,,,5244.24148058,12285.51724138
nefer_11,2005-11-08,-0.1,,,,,
nefer_11,2005-11-28,-0.01,,,,,
nefer_11,2006-03-29,0.45,1.15139029,895.76239821,483.27865269,,1379.0410509
nefer_11,2006-04-26,,3.39612963,2378.15001824,3533.84231892,,5911.99233716
nefer_11,2006-05-15,1.075,2.08331012,2045.38423251,,,9392.62397373
nefer_11,2006-07-04,2.0,,,,6872.78816591,14642.69293924
nefer_12,2005-11-08,-0.1,,,,,
nefer_12,2005-11-28,-0.01,,,,,
nefer_12,2006-03-29,0.45,,,,,
nefer_12,2006-05-15,1.075,,,,,
nefer_12,2006-07-04,2.0,,,,4685.05069531,
nefer_13,2005-11-08,-0.1,,,,,
nefer_13,2005-11-28,-0.01,,,,,
